Movie Name,Genre,Rating,Votes,Duration
Music by John Williams,Unknown,8.2,5900.0,Unknown
Escape,Unknown,6.4,2700.0,Unknown
The End,Unknown,5.4,3200.0,Unknown
Winner,Unknown,6.5,3300.0,Unknown
Cult Killer,Unknown,4.8,3400.0,Unknown
Crew,Unknown,5.8,39000.0,Unknown
Boys Go to Jupiter,Unknown,6.5,648000.0,Unknown
Things Will Be Different,Unknown,5.2,3400.0,Unknown
Misericordia,Unknown,6.7,4500.0,Unknown
Parallel,Unknown,5.3,2300.0,Unknown
Buffalo Kids,Unknown,6.6,1000.0,Unknown
Bad Genius,Unknown,6.3,3300.0,Unknown
The Second Act,Unknown,6.4,4700.0,Unknown
Winter in Sokcho,Unknown,6.8,1400.0,Unknown
Dead Talents Society,Unknown,7.0,3800.0,Unknown
Mom,Unknown,4.6,588000.0,Unknown
Find Me Falling,Unknown,6.3,14000.0,Unknown
Year 10,Unknown,5.4,3000.0,Unknown
Loveable,Unknown,7.5,4700.0,Unknown
Micro Budget,Unknown,7.6,53000.0,Unknown
Space Cowboy,Unknown,9.0,62000.0,Unknown
Sting,Unknown,5.7,19000.0,Unknown
Unsung Hero,Unknown,7.0,5700.0,Unknown
Aavesham,Unknown,7.8,33000.0,Unknown
Officer Black Belt,Unknown,6.9,10000.0,Unknown
